Method	Level	NumDiscrete	NumContinuous	NumRows	Seconds
bz2	1	10	90	1000	0.09
bz2	9	10	90	1000	0.09
gz	1	10	90	1000	0.07
gz	9	10	90	1000	0.07
lzma	NA	10	90	1000	0.13
snappy	NA	10	90	1000	0.03
bz2	1	100	900	1000000	470.16
bz2	9	100	900	1000000	470.71
gz	1	100	900	1000000	119.19
gz	9	100	900	1000000	121.59
lzma	NA	100	900	1000000	560.69
snappy	NA	100	900	1000000	20.29
bz2	1	100000	900000	1000	515.40
bz2	9	100000	900000	1000	801.04
gz	1	100000	900000	1000	100.42
gz	9	100000	900000	1000	97.16
lzma	NA	100000	900000	1000	443.66
snappy	NA	100000	900000	1000	24.43
