Method	Level	NumDiscrete	NumContinuous	NumRows	Size
bz2	1	10	90	1000	486231
bz2	9	10	90	1000	486231
gz	1	10	90	1000	528966
gz	9	10	90	1000	523747
lzma	NA	10	90	1000	561320
snappy	NA	10	90	1000	919884
bz2	1	100	900	1000000	3952151033
bz2	9	100	900	1000000	3952151033
gz	1	100	900	1000000	4913363393
gz	9	100	900	1000000	4762186097
lzma	NA	100	900	1000000	4030019164
snappy	NA	100	900	1000000	7951202604
bz2	1	100000	900000	1000	3729087099
bz2	9	100000	900000	1000	3709517758
gz	1	100000	900000	1000	5075650508
gz	9	100000	900000	1000	4435210339
lzma	NA	100000	900000	1000	3755826988
snappy	NA	100000	900000	1000	7648513858
