Description	Dimensions	Value
Build	10	0.04
Size	10	210
ll Size	10	2
mccl Size	10	1
cc Size	10	50
Query	10	0.03
User time (seconds)	10	0.02
System time (seconds)	10	0.01
Percent of CPU this job got	10	97%
Elapsed (wall clock) time (h:mm:ss or m:ss)	10	0:00.03
Maximum resident set size (kbytes)	10	10988
Minor (reclaiming a frame) page faults	10	1204
Voluntary context switches	10	1
File system outputs	10	8
Page size (bytes)	10	4096
Transposed Size	10	210
Build	50	0.03
Size	50	5050
ll Size	50	3
mccl Size	50	1
cc Size	50	250
Query	50	0.03
User time (seconds)	50	0.02
System time (seconds)	50	0.01
Percent of CPU this job got	50	97%
Elapsed (wall clock) time (h:mm:ss or m:ss)	50	0:00.03
Maximum resident set size (kbytes)	50	10924
Minor (reclaiming a frame) page faults	50	1209
Voluntary context switches	50	1
File system outputs	50	16
Page size (bytes)	50	4096
Transposed Size	50	5050
Build	100	0.04
Size	100	20100
ll Size	100	3
mccl Size	100	1
cc Size	100	600
Query	100	0.03
User time (seconds)	100	0.02
System time (seconds)	100	0.00
Percent of CPU this job got	100	97%
Elapsed (wall clock) time (h:mm:ss or m:ss)	100	0:00.03
Maximum resident set size (kbytes)	100	11104
Minor (reclaiming a frame) page faults	100	1226
Voluntary context switches	100	1
File system outputs	100	40
Page size (bytes)	100	4096
Transposed Size	100	20100
Build	500	0.20
Size	500	500500
ll Size	500	4
mccl Size	500	1
cc Size	500	3000
Query	500	0.03
User time (seconds)	500	0.09
System time (seconds)	500	0.00
Percent of CPU this job got	500	98%
Elapsed (wall clock) time (h:mm:ss or m:ss)	500	0:00.10
Maximum resident set size (kbytes)	500	12736
Minor (reclaiming a frame) page faults	500	1636
Voluntary context switches	500	1
File system outputs	500	984
Page size (bytes)	500	4096
Transposed Size	500	500500
Build	1000	0.68
Size	1000	2001000
ll Size	1000	4
mccl Size	1000	1
cc Size	1000	7000
Query	1000	0.03
User time (seconds)	1000	0.33
System time (seconds)	1000	0.01
Percent of CPU this job got	1000	99%
Elapsed (wall clock) time (h:mm:ss or m:ss)	1000	0:00.34
Maximum resident set size (kbytes)	1000	18908
Minor (reclaiming a frame) page faults	1000	2828
Voluntary context switches	1000	1
Involuntary context switches	1000	1
File system outputs	1000	3912
Page size (bytes)	1000	4096
Transposed Size	1000	2001000
Build	5000	16.25
Size	5000	50005000
ll Size	5000	5
mccl Size	5000	1
cc Size	5000	35000
Query	5000	0.03
User time (seconds)	5000	8.00
System time (seconds)	5000	0.08
Percent of CPU this job got	5000	99%
Elapsed (wall clock) time (h:mm:ss or m:ss)	5000	0:08.10
Maximum resident set size (kbytes)	5000	90448
Minor (reclaiming a frame) page faults	5000	42271
Voluntary context switches	5000	114
Involuntary context switches	5000	6
File system outputs	5000	97672
Page size (bytes)	5000	4096
Transposed Size	5000	50005000
Build	10000	64.52
Size	10000	200010000
ll Size	10000	5
mccl Size	10000	1
cc Size	10000	80000
Query	10000	0.03
User time (seconds)	10000	30.64
System time (seconds)	10000	0.34
Percent of CPU this job got	10000	99%
Elapsed (wall clock) time (h:mm:ss or m:ss)	10000	0:31.01
Maximum resident set size (kbytes)	10000	267328
Minor (reclaiming a frame) page faults	10000	224866
Voluntary context switches	10000	141
Involuntary context switches	10000	23
File system outputs	10000	390656
Page size (bytes)	10000	4096
Transposed Size	10000	200010000
Build	50000	1597.73
Size	50000	5000050000
ll Size	50000	6
mccl Size	50000	1
cc Size	50000	400000
Query	50000	0.03
User time (seconds)	50000	1048.45
System time (seconds)	50000	12.61
Percent of CPU this job got	50000	99%
Elapsed (wall clock) time (h:mm:ss or m:ss)	50000	17:41.11
Maximum resident set size (kbytes)	50000	3612840
Minor (reclaiming a frame) page faults	50000	8212095
Voluntary context switches	50000	162
Involuntary context switches	50000	1331
File system outputs	50000	9766120
Page size (bytes)	50000	4096
Transposed Size	50000	5000050000
Build	100000	6360.18
Size	100000	20000100000
ll Size	100000	6
mccl Size	100000	1
cc Size	100000	900000
Query	100000	0.03
User time (seconds)	100000	5051.89
System time (seconds)	100000	55.55
Percent of CPU this job got	100000	99%
Elapsed (wall clock) time (h:mm:ss or m:ss)	100000	1:25:07
Maximum resident set size (kbytes)	100000	7214372
Minor (reclaiming a frame) page faults	100000	33259061
Voluntary context switches	100000	245
Involuntary context switches	100000	6383
File system outputs	100000	39063488
Page size (bytes)	100000	4096
Transposed Size	100000	20000100000
Build	500000	160486.54
Size	500000	500000500000
ll Size	500000	7
mccl Size	500000	1
cc Size	500000	4500000
Query	500000	0.06
User time (seconds)	500000	134471.33
System time (seconds)	500000	3270.92
Percent of CPU this job got	500000	99%
Elapsed (wall clock) time (h:mm:ss or m:ss)	500000	38:24:18
Maximum resident set size (kbytes)	500000	35881248
Major (requiring I/O) page faults	500000	3427607
Minor (reclaiming a frame) page faults	500000	2035529164
Voluntary context switches	500000	3429309
Involuntary context switches	500000	197894
File system inputs	500000	2009249024
File system outputs	500000	976567472
Page size (bytes)	500000	4096
Transposed Size	500000	500000500000
