Description	NumContinuous	NumDiscrete	NumRows	MemMap	Seconds
TestSplit.py	90	11	1000	False	0.03
TestSplit.py	90	11	1000	True	0.02
TestRegExQuantifiers.py	90	11	1000	False	0.23
TestRegExQuantifiers.py	90	11	1000	True	0.24
TestRegExTabs.py	90	11	1000	False	0.03
TestRegExTabs.py	90	11	1000	True	0.03
TestMsgPack.py	90	11	1000	False	0.03
TestMsgPack.py	90	11	1000	True	0.03
TestFlags.py	90	11	1000	False	0.03
TestFlags.py	90	11	1000	True	0.02
TestAwk.py	90	11	1000	False	0.03
TestGawk.py	90	11	1000	False	0.03
TestNawk.py	90	11	1000	False	0.03
TestFixedWidth.py	90	11	1000	False	0.03
TestFixedWidth.py	90	11	1000	True	0.01
TestSplit.py	9000	1000	100000	False	22.48
TestSplit.py	9000	1000	100000	True	17.90
TestRegExQuantifiers.py	9000	1000	100000	False	29.56
TestRegExQuantifiers.py	9000	1000	100000	True	25.82
TestRegExTabs.py	9000	1000	100000	False	19.71
TestRegExTabs.py	9000	1000	100000	True	17.22
TestMsgPack.py	9000	1000	100000	False	16.14
TestMsgPack.py	9000	1000	100000	True	16.07
TestFlags.py	9000	1000	100000	False	23.01
TestFlags.py	9000	1000	100000	True	16.89
TestAwk.py	9000	1000	100000	False	15.22
TestGawk.py	9000	1000	100000	False	15.18
TestNawk.py	9000	1000	100000	False	15.09
TestFixedWidth.py	9000	1000	100000	False	8.94
TestFixedWidth.py	9000	1000	100000	True	4.79
TestSplit.py	90000	10000	10000	False	26.11
TestSplit.py	90000	10000	10000	True	22.58
TestRegExQuantifiers.py	90000	10000	10000	False	36.71
TestRegExQuantifiers.py	90000	10000	10000	True	31.49
TestRegExTabs.py	90000	10000	10000	False	23.86
TestRegExTabs.py	90000	10000	10000	True	21.17
TestMsgPack.py	90000	10000	10000	False	18.21
TestMsgPack.py	90000	10000	10000	True	18.42
TestFlags.py	90000	10000	10000	False	25.08
TestFlags.py	90000	10000	10000	True	19.00
TestAwk.py	90000	10000	10000	False	16.84
TestGawk.py	90000	10000	10000	False	17.09
TestNawk.py	90000	10000	10000	False	16.98
TestFixedWidth.py	90000	10000	10000	False	11.65
TestFixedWidth.py	90000	10000	10000	True	6.21
