NumDiscrete	NumNumeric	NumRows	Method	Level	WallClockSeconds	UserSeconds	SystemSeconds	MaxMemoryUsed_kb	OutputFileSize_kb
10	90	1000	bz2	1	0.23	0.20	0.02	10360	462
10	90	1000	bz2	5	0.24	0.21	0.02	10076	462
10	90	1000	bz2	9	0.23	0.20	0.02	10132	462
10	90	1000	gz	1	0.15	0.10	0.05	10348	497
10	90	1000	gz	5	0.16	0.12	0.04	10596	494
10	90	1000	gz	9	0.16	0.12	0.04	10508	494
10	90	1000	lzma	NA	1.0	0.95	0.04	43852	538
10	90	1000	snappy	NA	0.06	0.04	0.01	10600	862
10	90	1000	zstd	1	0.08	0.06	0.02	12040	477
10	90	1000	zstd	5	0.09	0.06	0.03	12056	483
10	90	1000	zstd	9	0.11	0.10	0.00	11940	483
10	90	1000	zstd	22	0.13	0.11	0.02	12360	478
10	90	1000	lz4	0	0.06	0.05	0.01	10616	878
10	90	1000	lz4	5	0.09	0.07	0.02	9832	864
10	90	1000	lz4	10	0.09	0.08	0.01	10000	864
10	90	1000	lz4	16	0.1	0.08	0.02	9896	864
100	900	1000000	bz2	1	1832.97	1795.66	36.99	9143160	3795308
100	900	1000000	bz2	5	1817.2	1782.36	34.56	9143740	3795308
100	900	1000000	bz2	9	1813.53	1774.78	38.41	9146072	3795308
100	900	1000000	gz	1	854.58	803.28	51.26	9144324	4659549
100	900	1000000	gz	5	951.34	897.61	53.55	9143920	4524928
100	900	1000000	gz	9	1087.72	1038.46	49.23	9144120	4528426
100	900	1000000	lzma	NA	4044.0	3621.37	422.59	9163024	3868969
100	900	1000000	snappy	NA	574.56	560.67	11.71	9146228	7580847
100	900	1000000	zstd	1	621.53	610.27	10.87	9145848	4171781
100	900	1000000	zstd	5	780.31	768.60	11.67	9146056	4317730
100	900	1000000	zstd	9	966.09	953.38	12.64	9146388	4308337
100	900	1000000	zstd	22	2270.96	2259.39	11.31	9146320	3886689
100	900	1000000	lz4	0	598.2	584.04	13.01	9145724	7482132
100	900	1000000	lz4	5	724.24	710.93	13.27	9145824	7014293
100	900	1000000	lz4	10	855.35	841.16	13.99	9145792	6989143
100	900	1000000	lz4	16	920.27	907.42	12.81	9145912	6988982
100000	900000	1000	bz2	1	917.15	908.10	4.22	9023604	3632856
100000	900000	1000	bz2	5	962.46	958.98	3.46	9023400	3615186
100000	900000	1000	bz2	9	1003.55	999.28	4.24	9025820	3608376
100000	900000	1000	gz	1	160.57999999999998	157.26	3.31	9017128	4415158
100000	900000	1000	gz	5	593.6	590.43	3.15	9018072	4139917
100000	900000	1000	gz	9	1746.28	1743.15	3.11	9020228	4077562
100000	900000	1000	lzma	NA	6006.0	5950.42	55.96	9121788	3537056
100000	900000	1000	snappy	NA	49.18	40.98	8.11	9026676	6987034
100000	900000	1000	zstd	1	45.37	38.32	6.49	9020844	3947305
100000	900000	1000	zstd	5	166.49	160.63	5.84	9025336	4096170
100000	900000	1000	zstd	9	418.95	412.21	6.73	9034724	4063735
100000	900000	1000	zstd	22	5600.0	5553.63	47.16	9282296	3827421
100000	900000	1000	lz4	0	41.75	34.50	6.81	9031716	7454273
100000	900000	1000	lz4	5	412.24	407.59	4.63	9028476	5487250
100000	900000	1000	lz4	10	1109.68	1104.11	5.48	9025988	5288350
100000	900000	1000	lz4	16	1231.69	1225.41	6.26	9027772	5288377
