NumDiscrete	NumNumeric	NumRows	Method	Level	UncompressedSize_kb	PortraitCompressedSize_kb	LandscapeCompressedSize_kb
100	900	1000000	zstd	1	8995118	4171781	3937479
100	900	1000000	zstd	5	8995118	4317730	4163388
100	900	1000000	zstd	9	8995118	4308337	4095234
100000	900000	1000	zstd	1	8984383	3947305	4025965
100000	900000	1000	zstd	5	8984383	4096170	4245190
100000	900000	1000	zstd	9	8984383	4063735	4214320
100000	900000	1000	zstd	22	8984383	3827421	3989229
100	900	1000000	zstd	22	8995118	3886689	3879868
