Iteration	CommandPrefix	QueryType	Columns	NumDiscrete	NumNumeric	NumRows	WallClockSeconds	UserSeconds	SystemSeconds	MaxMemoryUsed_kb	OutputFileSize_kb
1	python line_by_line.py standard_io	simple	firstlast_columns	10	90	1000	0.05	0.04	0.00	7724	1
1	python fwf2.py	simple	firstlast_columns	10	90	1000	0.04	0.03	0.00	9660	1
1	/Rust/fwf2/target/release/main	simple	firstlast_columns	10	90	1000	0.04	0.00	0.04	3040	1
2	python line_by_line.py standard_io	simple	firstlast_columns	10	90	1000	0.03	0.01	0.01	7716	1
2	python fwf2.py	simple	firstlast_columns	10	90	1000	0.04	0.03	0.01	9756	1
2	/Rust/fwf2/target/release/main	simple	firstlast_columns	10	90	1000	0.04	0.00	0.04	2904	1
