Iteration	CommandPrefix	QueryType	Columns	NumDiscrete	NumNumeric	NumRows	WallClockSeconds	UserSeconds	SystemSeconds	MaxMemoryUsed_kb	OutputFileSize_kb
1	python query_f4.py 1 None	simple	firstlast_columns	10	90	1000	0.09	0.07	0.01	15744	1
1	python query_f4.py 1 zstd	simple	firstlast_columns	10	90	1000	0.08	0.05	0.03	16084	1
1	python query_f4.py 4 None	simple	firstlast_columns	10	90	1000	0.75	3.29	5.37	39052	1
1	python query_f4.py 4 zstd	simple	firstlast_columns	10	90	1000	0.74	2.92	4.89	39380	1
1	python query_f4.py 16 None	simple	firstlast_columns	10	90	1000	0.94	7.78	4.88	38864	1
1	python query_f4.py 16 zstd	simple	firstlast_columns	10	90	1000	0.88	7.16	5.18	38892	1
1	python query_f4.py 1 None	simple	all_columns	10	90	1000	0.08	0.06	0.01	15836	6
1	python query_f4.py 1 zstd	simple	all_columns	10	90	1000	0.08	0.06	0.02	16060	6
1	python query_f4.py 4 None	simple	all_columns	10	90	1000	0.72	2.97	4.84	39140	6
1	python query_f4.py 4 zstd	simple	all_columns	10	90	1000	0.73	2.87	5.26	39252	6
1	python query_f4.py 16 None	simple	all_columns	10	90	1000	0.89	6.80	5.07	39204	6
1	python query_f4.py 16 zstd	simple	all_columns	10	90	1000	0.87	7.12	5.38	39188	6
1	python query_f4.py 1 None	startsendswith	firstlast_columns	10	90	1000	0.08	0.05	0.02	15992	3
1	python query_f4.py 1 zstd	startsendswith	firstlast_columns	10	90	1000	0.09	0.06	0.03	16036	3
1	python query_f4.py 4 None	startsendswith	firstlast_columns	10	90	1000	0.74	3.15	5.34	38824	3
1	python query_f4.py 4 zstd	startsendswith	firstlast_columns	10	90	1000	0.76	3.28	5.11	38692	3
1	python query_f4.py 16 None	startsendswith	firstlast_columns	10	90	1000	0.9	7.65	5.28	38608	3
1	python query_f4.py 16 zstd	startsendswith	firstlast_columns	10	90	1000	0.88	7.53	5.25	38852	3
1	python query_f4.py 1 None	startsendswith	all_columns	10	90	1000	0.08	0.07	0.00	15780	79
1	python query_f4.py 1 zstd	startsendswith	all_columns	10	90	1000	0.09	0.07	0.01	16132	79
1	python query_f4.py 4 None	startsendswith	all_columns	10	90	1000	0.78	2.93	4.66	38884	79
1	python query_f4.py 4 zstd	startsendswith	all_columns	10	90	1000	0.73	3.29	4.82	39248	79
1	python query_f4.py 16 None	startsendswith	all_columns	10	90	1000	0.91	7.21	4.18	39032	79
1	python query_f4.py 16 zstd	startsendswith	all_columns	10	90	1000	0.86	7.31	5.10	38996	79
1	python query_f4.py 1 None	simple	firstlast_columns	100	900	1000000	1.34	1.25	0.08	195836	72
1	python query_f4.py 1 zstd	simple	firstlast_columns	100	900	1000000	1.51	1.39	0.11	239312	72
1	python query_f4.py 4 None	simple	firstlast_columns	100	900	1000000	1.3	4.64	5.04	156124	72
1	python query_f4.py 4 zstd	simple	firstlast_columns	100	900	1000000	1.5	4.71	5.26	205088	72
1	python query_f4.py 16 None	simple	firstlast_columns	100	900	1000000	1.23	9.58	4.64	150156	72
1	python query_f4.py 16 zstd	simple	firstlast_columns	100	900	1000000	1.42	10.80	5.65	198896	72
1	python query_f4.py 1 None	simple	all_columns	100	900	1000000	2.45	2.33	0.12	196120	25895
1	python query_f4.py 1 zstd	simple	all_columns	100	900	1000000	2.31	2.15	0.16	239244	25895
1	python query_f4.py 4 None	simple	all_columns	100	900	1000000	1.68	6.05	5.41	156940	25895
1	python query_f4.py 4 zstd	simple	all_columns	100	900	1000000	1.82	6.29	5.78	205924	25895
1	python query_f4.py 16 None	simple	all_columns	100	900	1000000	1.43	11.36	4.57	150572	25895
1	python query_f4.py 16 zstd	simple	all_columns	100	900	1000000	1.5	12.02	5.68	199592	25895
1	python query_f4.py 1 None	startsendswith	firstlast_columns	100	900	1000000	2.2	1.71	0.49	3667796	1849
1	python query_f4.py 1 zstd	startsendswith	firstlast_columns	100	900	1000000	3.19	2.88	0.30	2901284	1849
1	python query_f4.py 4 None	startsendswith	firstlast_columns	100	900	1000000	1.65	5.06	5.39	954216	1849
1	python query_f4.py 4 zstd	startsendswith	firstlast_columns	100	900	1000000	2.09	6.50	5.36	800092	1849
1	python query_f4.py 16 None	startsendswith	firstlast_columns	100	900	1000000	1.36	10.63	5.40	268736	1849
1	python query_f4.py 16 zstd	startsendswith	firstlast_columns	100	900	1000000	1.71	13.90	6.06	266760	1849
1	python query_f4.py 1 None	startsendswith	all_columns	100	900	1000000	31.03	29.77	1.25	3666904	673914
1	python query_f4.py 1 zstd	startsendswith	all_columns	100	900	1000000	24.5	23.43	1.07	2909452	673914
1	python query_f4.py 4 None	startsendswith	all_columns	100	900	1000000	9.95	34.99	6.86	955004	673914
1	python query_f4.py 4 zstd	startsendswith	all_columns	100	900	1000000	8.54	28.68	7.36	800648	673914
1	python query_f4.py 16 None	startsendswith	all_columns	100	900	1000000	4.86	49.18	7.48	269044	673914
1	python query_f4.py 16 zstd	startsendswith	all_columns	100	900	1000000	4.44	42.13	8.30	268084	673914
1	python query_f4.py 1 None	simple	firstlast_columns	100000	900000	1000	0.09	0.06	0.02	17740	1
1	python query_f4.py 1 zstd	simple	firstlast_columns	100000	900000	1000	0.13	0.09	0.04	39724	1
1	python query_f4.py 4 None	simple	firstlast_columns	100000	900000	1000	0.73	3.20	5.31	41304	1
1	python query_f4.py 4 zstd	simple	firstlast_columns	100000	900000	1000	0.75	3.17	5.18	61912	1
1	python query_f4.py 16 None	simple	firstlast_columns	100000	900000	1000	0.89	7.18	4.73	41328	1
1	python query_f4.py 16 zstd	simple	firstlast_columns	100000	900000	1000	0.89	7.22	5.47	61932	1
1	python query_f4.py 1 None	simple	all_columns	100000	900000	1000	7.42	6.99	0.42	478932	43436
1	python query_f4.py 1 zstd	simple	all_columns	100000	900000	1000	6.91	6.43	0.47	464160	43436
1	python query_f4.py 4 None	simple	all_columns	100000	900000	1000	7.95	10.45	6.29	499880	43436
1	python query_f4.py 4 zstd	simple	all_columns	100000	900000	1000	7.85	10.24	5.75	483896	43436
1	python query_f4.py 16 None	simple	all_columns	100000	900000	1000	8.29	14.23	5.52	499984	43436
1	python query_f4.py 16 zstd	simple	all_columns	100000	900000	1000	8.05	14.28	5.87	483828	43436
1	python query_f4.py 1 None	startsendswith	firstlast_columns	100000	900000	1000	0.08	0.06	0.01	30340	3
1	python query_f4.py 1 zstd	startsendswith	firstlast_columns	100000	900000	1000	0.69	0.62	0.06	327288	3
1	python query_f4.py 4 None	startsendswith	firstlast_columns	100000	900000	1000	0.73	3.05	5.13	40448	3
1	python query_f4.py 4 zstd	startsendswith	firstlast_columns	100000	900000	1000	0.99	3.71	4.48	124808	3
1	python query_f4.py 16 None	startsendswith	firstlast_columns	100000	900000	1000	0.92	6.92	5.20	40448	3
1	python query_f4.py 16 zstd	startsendswith	firstlast_columns	100000	900000	1000	1.0	8.65	5.42	69632	3
1	python query_f4.py 1 None	startsendswith	all_columns	100000	900000	1000	42.64	38.65	3.99	1121016	750663
1	python query_f4.py 1 zstd	startsendswith	all_columns	100000	900000	1000	35.73	31.73	3.99	745816	750663
1	python query_f4.py 4 None	startsendswith	all_columns	100000	900000	1000	20.83	50.11	12.59	638064	750663
1	python query_f4.py 4 zstd	startsendswith	all_columns	100000	900000	1000	18.13	41.11	12.49	601300	750663
1	python query_f4.py 16 None	startsendswith	all_columns	100000	900000	1000	21.44	74.55	18.00	513168	750663
1	python query_f4.py 16 zstd	startsendswith	all_columns	100000	900000	1000	19.96	64.44	16.62	512348	750663
