Iteration	CommandPrefix	QueryType	Columns	NumDiscrete	NumNumeric	NumRows	WallClockSeconds	UserSeconds	SystemSeconds	MaxMemoryUsed_kb	OutputFileSize_kb
1	python polars_csv.py	simple	firstlast_columns	10	90	1000	0.16	0.13	0.10	47252	1
1	python polars_csv.py	simple	all_columns	10	90	1000	0.17	0.27	0.24	51672	6
1	python polars_csv.py	simple	firstlast_columns	100	900	1000000	1.22	9.73	1.04	10037448	71
1	python polars_csv.py	simple	all_columns	100	900	1000000	3.91	109.95	12.49	18410536	25641
1	python polars_csv.py	simple	firstlast_columns	100000	900000	1000	29.26	22.46	3.37	10477940	1
1	python polars_csv.py	simple	all_columns	100000	900000	1000	772.31	1561.37	233.09	15761520	43143
1	python polars_csv.py	startsendswith	firstlast_columns	10	90	1000	0.28	0.20	0.12	47164	3
1	python polars_csv.py	startsendswith	all_columns	10	90	1000	0.39	0.42	0.47	52400	78
1	python polars_csv.py	startsendswith	firstlast_columns	100	900	1000000	2.3	18.37	1.41	10067828	1834
1	python polars_csv.py	startsendswith	all_columns	100	900	1000000	5.41	128.94	14.67	18527664	667315
1	python polars_csv.py	startsendswith	firstlast_columns	100000	900000	1000	38.73	36.74	2.06	10474080	3
1	python polars_csv.py	startsendswith	all_columns	100000	900000	1000	880.12	1572.40	268.98	16457384	743433
